Designator,Footprint,Quantity,Value,LCSC Part #
C1,0603,1,220nF,
"C10, C13, C19, C2, C7",0603,5,.1uF,
"C11, C14, C17, C3, C4, C8",CP_Radial_D10.0mm_P5.00mm,6,470uF,
"C12, C15, C18, C5, C6, C9",1206,6,1uF,
C16,CP_Radial_D10.0mm_P5.00mm,1,1000uF,
"D1, D2, D3, D4, D7",D_SMB,5,SMBJ24A,
D5,D_SOD-123,1,D_Zener,
D6,D_SMB-SMC_Universal_Handsoldering,1,SMCJ24A,
F1,1206,1,Fuse_1,
F2,1206,1,Fuse_2,
F3,1206,1,Fuse_3,
F4,1206,1,Fuse_4,
F5,1206,1,Fuse_0,
F6,1206,1,Fuse_5,
J1,Molex_Micro-Fit_3.0_43045-0600_2x03_P3.00mm_Horizontal,1,Power_Input,
J10,PinHeader_1x01_P2.54mm_Vertical,1,4_Neg,
"J11, J12",PinHeader_1x03_P2.54mm_Vertical,2,Conn_01x03_Pin,
J13,PinHeader_1x02_P2.54mm_Vertical,1,Conn_01x02_Pin,
J14,PinHeader_1x01_P2.54mm_Vertical,1,Fan-IN,
J15,PinHeader_1x01_P2.54mm_Vertical,1,Fan+IN,
J16,PinHeader_1x01_P2.54mm_Vertical,1,Fan+Out,
J17,PinHeader_1x01_P2.54mm_Vertical,1,Fan-Out,
J18,PinHeader_1x01_P2.54mm_Vertical,1,5_Pos,
J19,PinHeader_1x01_P2.54mm_Vertical,1,5_Neg,
J2,Molex_Micro-Fit_3.0_43045-0600_2x03_P3.00mm_Horizontal,1,Button_Input,
J20,PinHeader_1x02_P2.54mm_Vertical,1,Sens,
"J21, J22",PinHeader_1x02_P2.54mm_Vertical,2,24V,
J3,PinHeader_1x01_P2.54mm_Vertical,1,1_Pos,
J4,PinHeader_1x01_P2.54mm_Vertical,1,1_Neg,
J5,PinHeader_1x01_P2.54mm_Vertical,1,2_Pos,
J6,PinHeader_1x01_P2.54mm_Vertical,1,2_Neg,
J7,PinHeader_1x01_P2.54mm_Vertical,1,3_Pos,
J8,PinHeader_1x01_P2.54mm_Vertical,1,3_Neg,
J9,PinHeader_1x01_P2.54mm_Vertical,1,4_Pos,
Q4,TO-252-3_TabPin2,1,DMP4010SK3-13,IRF9540NPBF
R3,0603,1,100,
R4,0603,1,47k,
R5,1206,1,4.7k,
R6,0603,1,100k,
